activity,bax0,bax1,bax2,bax3,bax4,bay0,bay1,bay2,bay3,bay4,baz0,baz1,baz2,baz3,baz4,bgx0,bgx1,bgx2,bgx3,bgx4,bgy0,bgy1,bgy2,bgy3,bgy4,bgz0,bgz1,bgz2,bgz3,bgz4,gax0,gax1,gax2,gax3,gax4,gay0,gay1,gay2,gay3,gay4,gaz0,gaz1,gaz2,gaz3,gaz4
1.0,-0.00175061279864,0.313613114851,0.289502063274,0.257823611482,0.308704773564,-0.0540106801841,-0.0180101899718,-0.0164023655363,-0.023505332483,-0.0215529447583,-0.0743470353063,-0.113994662456,-0.118411265585,-0.11680329495,-0.110102783802,-0.0106796901543,0.0365265923297,0.0156811722964,-0.000585181452976,-0.0195213124814,-0.0993425431206,-0.152566780851,-0.120130721115,-0.135333067232,-0.116898409182,0.922953860386,0.582215593294,0.261568810141,0.137575907131,0.0895198620248,-0.578272162646,-0.699372813098,-0.675472762376,-0.672443788871,-0.672108826839,0.819703150494,0.793562083877,0.785549102985,0.796088021388,0.79591040147,0.683859521392,0.703251903895,0.707837096072,0.710693551975,0.716467743239
1.0,0.303840073861,0.287473988559,0.278075081519,0.277760261993,0.312174289098,-0.0172771331214,-0.0165366510809,-0.0168075735268,-0.0190178028476,-0.017128926762,-0.119923945763,-0.114959345435,-0.116449689371,-0.105316180006,-0.111705512114,-0.0280401175397,-0.0296116306852,-0.0273444059936,-0.0338994699063,-0.0258548742861,-0.0741401532762,-0.0685992401468,-0.0839908578557,-0.0740587847681,-0.103957631043,0.0901298088936,0.0907370220141,0.0918910679488,0.0874449131425,0.0831014061541,-0.400326318243,-0.39291848456,-0.398218667352,-0.397274584224,-0.401459825201,0.407196618358,0.405363093784,0.405769141408,0.404081984141,0.402660410881,0.991323048558,0.990852289691,0.990374960817,0.989728193124,0.990503235153
1.0,0.308103101504,0.299459025278,0.275632493395,0.287894590083,0.268133901738,-0.0191633754811,-0.0184063124524,-0.0161260571926,-0.0209062852875,-0.01445212875,-0.114784029809,-0.112598926003,-0.109162193154,-0.109598998994,-0.118234759558,-0.0292486031296,-0.0298746206303,-0.028436303103,-0.027153978961,-0.028894858757,-0.0845420184847,-0.0682918584737,-0.0757440115506,-0.0675920819298,-0.0860530795771,0.0923794635928,0.0883088005263,0.0889012549098,0.0905513860856,0.093820693814,-0.248149702487,-0.243890292474,-0.24222944986,-0.247646553313,-0.244133608212,0.766271442888,0.768423976111,0.767784659296,0.768032449584,0.765465455203,0.707846786855,0.705722474068,0.708118666569,0.707451362438,0.708294148074
1.0,0.281590664211,0.148976739922,0.170562004087,0.2180098257,0.272896622107,-0.0323247718154,0.025867983594,-0.0640172855627,-0.0185183089882,-0.0126008424084,-0.100615370487,-0.192931727395,-0.0841519768067,-0.104081934559,-0.122219684223,-0.00713576925887,0.0539612754885,-0.000323171255125,-0.038384543891,-0.0425338684932,-0.0905238420172,-0.663227620634,-0.421117973448,-0.189138369308,-0.0769362742362,0.0923336906495,0.849366157989,0.531657843184,0.279791616222,0.144761528253,-0.723534223652,-0.319379891551,-0.357214217616,-0.388815552739,-0.425085109798,-0.173982164527,0.566023597859,0.565487913156,0.527808262512,0.538161928132,-0.97594290133,0.890576178069,0.822264121131,0.931570463072,0.858784076239
1.0,0.292768883264,0.292748253132,0.298309747701,0.290425392304,0.290863023134,-0.0182333178652,-0.0192386481882,-0.0209176845924,-0.0190210126423,-0.0183782946458,-0.115432838166,-0.110669379177,-0.112682720383,-0.115029435874,-0.119040261801,-0.0279725648292,-0.0296369313696,-0.0294029191891,-0.0299114627006,-0.028920189565,-0.0771937290101,-0.0784673773277,-0.0794426870334,-0.0864137830876,-0.081031543175,0.0920921132662,0.0923847620305,0.0944849191923,0.0909343966999,0.0902850629695,-0.445482701951,-0.444029647249,-0.445596328737,-0.444629769371,-0.444374618795,0.803881852717,0.803224506778,0.802691099938,0.802072202073,0.801200010724,0.690056783291,0.691794753616,0.690082354475,0.692292579011,0.692451874029
1.0,0.308787204517,0.291308331517,0.284644389869,0.304169936399,0.302276819221,-0.0162205371488,-0.0169452029942,-0.0192720674469,-0.0191259358325,-0.0126447255578,-0.117620050254,-0.115624567564,-0.111264803165,-0.104594092588,-0.119353908076,-0.0241850205147,-0.033586100684,-0.0310698621354,-0.0324238584961,-0.0201200702897,-0.0748467055982,-0.0857710839491,-0.0796804252365,-0.0733767950616,-0.0940824605517,0.0513449565022,0.0711159301996,0.0725098678207,0.0899921956023,0.0873750818574,-0.338358925604,-0.332756017276,-0.335085581207,-0.332273440318,-0.331638100828,0.795209132421,0.79305911291,0.798543882969,0.794554421799,0.795287841894,0.661777466651,0.657702333279,0.657611034334,0.662575401806,0.66376092903
1.0,0.298620630876,0.295457976553,0.293845572012,0.286536702413,0.29191469572,-0.016486210795,-0.0179081309676,-0.0182919269086,-0.0187409632906,-0.0164137220606,-0.120255102388,-0.11725732704,-0.115843780631,-0.11392072148,-0.111164819975,-0.0309439877489,-0.029777705897,-0.0291575581465,-0.0303369916851,-0.0233462377895,-0.0791794793482,-0.0767726826286,-0.0797650436702,-0.074172494883,-0.0810334556601,0.0877408821515,0.093049934064,0.0914508070636,0.0914105850255,0.0900527361973,-0.349225362805,-0.350316013923,-0.348374639954,-0.34896711549,-0.347852124244,0.953720984441,0.952248115618,0.951349520387,0.953143948821,0.95274244599,0.401419054599,0.396927492667,0.397097685083,0.396857403033,0.399100418046
1.0,0.473065053935,0.260508797895,0.277105280781,0.300004408097,0.300919258134,-0.0372402230869,-0.00697190279429,-0.0190792401574,-0.0176184417904,-0.0245348631962,-0.140955865668,-0.0844341483333,-0.112691885745,-0.123189217023,-0.120639236193,-0.115499524189,-0.0604172319735,-0.039862738804,-0.0149167402105,-0.0273544770866,-0.202179952915,-0.108302753501,-0.0697212951883,-0.0311867732126,-0.0663032794372,0.687505141612,0.326477742799,0.139293348534,0.124774403772,0.0554099233674,-0.415536302868,-0.35647195872,-0.368676155894,-0.356956245574,-0.343391428786,0.899283938101,0.893587188983,0.890798272117,0.880609579496,0.881854163398,0.571533252309,0.565065936001,0.567836899267,0.571177638476,0.566620876869
1.0,0.283242373005,0.286064112361,0.28230910703,0.28682302771,0.289837796665,-0.0175971583002,-0.0183964247587,-0.0174029091833,-0.0219301245568,-0.0183140430856,-0.108894981739,-0.112812852776,-0.111779969987,-0.114909144881,-0.117881537922,-0.0277419769043,-0.025916921172,-0.0303211460804,-0.0256422743917,-0.0290157617678,-0.0813878230986,-0.0819700731482,-0.0796816707178,-0.0830410285478,-0.0769319062275,0.0901256118833,0.0944026464514,0.0885516311036,0.0907413643963,0.0901838443928,-0.450093273213,-0.450819024267,-0.45003988656,-0.453322964469,-0.456179727111,0.528064255052,0.528860848196,0.530159098688,0.528717437853,0.52713600089,0.925024855676,0.927901470732,0.928260781311,0.929400154998,0.926465076793
1.0,0.2946805226,0.290732186907,0.291107420501,0.293458189617,0.283652836336,-0.0151426400593,-0.0211906601258,-0.0195815093077,-0.0168577486399,-0.0171834106155,-0.109250846942,-0.116608465508,-0.107274844032,-0.113897890575,-0.116963898697,-0.0291894321373,-0.0306781125643,-0.0279285067378,-0.0300456551251,-0.0287650603995,-0.0777766381107,-0.0741204431924,-0.0799740743628,-0.0795095235113,-0.0757819426744,0.0892876205657,0.091538549634,0.0938600240762,0.0905845585949,0.090981342195,-0.313556447416,-0.31255273683,-0.314191357176,-0.312786978844,-0.313270140741,0.839554597927,0.839778132639,0.836994119276,0.841179495528,0.839285910633,0.627901347339,0.626272701748,0.626378567108,0.626483188089,0.624339021097
